Año,Trimestre,Provincia,Accesos por cada 100 hogares,Rango
2022,4,Buenos Aires,78.94,"(70, 80]"
2022,4,Capital Federal,122.73,
2022,4,Catamarca,65.77,"(60, 70]"
2022,4,Chaco,43.62,"(40, 50]"
2022,4,Chubut,85.57,"(80, 90]"
2022,4,Córdoba,89.03,"(80, 90]"
2022,4,Corrientes,51.64,"(50, 60]"
2022,4,Entre Ríos,64.01,"(60, 70]"
2022,4,Formosa,39.41,"(30, 40]"
2022,4,Jujuy,58.46,"(50, 60]"
2022,4,La Pampa,94.8,"(90, 100]"
2022,4,La Rioja,79.86,"(70, 80]"
2022,4,Mendoza,51.36,"(50, 60]"
2022,4,Misiones,52.85,"(50, 60]"
2022,4,Neuquén,78.67,"(70, 80]"
2022,4,Río Negro,68.42,"(60, 70]"
2022,4,Salta,57.96,"(50, 60]"
2022,4,San Juan,50.88,"(50, 60]"
2022,4,San Luis,90.27,"(90, 100]"
2022,4,Santa Cruz,43.53,"(40, 50]"
2022,4,Santa Fe,78.4,"(70, 80]"
2022,4,Santiago Del Estero,48.05,"(40, 50]"
2022,4,Tierra Del Fuego,101.44,
2022,4,Tucumán,61.04,"(60, 70]"
2022,3,Buenos Aires,78.11,"(70, 80]"
2022,3,Capital Federal,122.28,
2022,3,Catamarca,65.33,"(60, 70]"
2022,3,Chaco,43.86,"(40, 50]"
2022,3,Chubut,84.38,"(80, 90]"
2022,3,Córdoba,88.31,"(80, 90]"
2022,3,Corrientes,48.21,"(40, 50]"
2022,3,Entre Ríos,63.67,"(60, 70]"
2022,3,Formosa,43.76,"(40, 50]"
2022,3,Jujuy,58.91,"(50, 60]"
2022,3,La Pampa,96.59,"(90, 100]"
2022,3,La Rioja,80.66,"(80, 90]"
2022,3,Mendoza,51.03,"(50, 60]"
2022,3,Misiones,51.82,"(50, 60]"
2022,3,Neuquén,80.37,"(80, 90]"
2022,3,Río Negro,67.98,"(60, 70]"
2022,3,Salta,57.76,"(50, 60]"
2022,3,San Juan,50.8,"(50, 60]"
2022,3,San Luis,81.74,"(80, 90]"
2022,3,Santa Cruz,43.19,"(40, 50]"
2022,3,Santa Fe,78.55,"(70, 80]"
2022,3,Santiago Del Estero,47.98,"(40, 50]"
2022,3,Tierra Del Fuego,99.51,"(90, 100]"
2022,3,Tucumán,61.14,"(60, 70]"
2022,2,Buenos Aires,77.58,"(70, 80]"
2022,2,Capital Federal,121.31,
2022,2,Catamarca,62.4,"(60, 70]"
2022,2,Chaco,43.79,"(40, 50]"
2022,2,Chubut,83.19,"(80, 90]"
2022,2,Córdoba,87.48,"(80, 90]"
2022,2,Corrientes,48.35,"(40, 50]"
2022,2,Entre Ríos,63.9,"(60, 70]"
2022,2,Formosa,43.42,"(40, 50]"
2022,2,Jujuy,57.32,"(50, 60]"
2022,2,La Pampa,92.98,"(90, 100]"
2022,2,La Rioja,80.14,"(80, 90]"
2022,2,Mendoza,49.39,"(40, 50]"
2022,2,Misiones,51.0,"(50, 60]"
2022,2,Neuquén,80.02,"(80, 90]"
2022,2,Río Negro,67.85,"(60, 70]"
2022,2,Salta,57.54,"(50, 60]"
2022,2,San Juan,49.46,"(40, 50]"
2022,2,San Luis,81.76,"(80, 90]"
2022,2,Santa Cruz,43.15,"(40, 50]"
2022,2,Santa Fe,77.9,"(70, 80]"
2022,2,Santiago Del Estero,47.7,"(40, 50]"
2022,2,Tierra Del Fuego,99.86,"(90, 100]"
2022,2,Tucumán,59.31,"(50, 60]"
2022,1,Buenos Aires,76.07814661157262,"(70, 80]"
2022,1,Capital Federal,111.79786269174652,
2022,1,Catamarca,58.20635083561171,"(50, 60]"
2022,1,Chaco,44.05948009941883,"(40, 50]"
2022,1,Chubut,88.05274093835774,"(80, 90]"
